Start Date,End Date,Element,Zodiac sign
2026/02/17,2027/02/05,Fire,Horse
2025/01/29,2026/02/16,Wood,Snake
2024/02/10,2025/01/28,Wood,Dragon
2023/01/22,2024/02/09,Water,Rabbit
2022/02/01,2023/01/21,Water,Tiger
2021/02/12,2022/01/31,Metal,Ox
2020/01/25,2021/02/11,Metal,Rat
2019/02/05,2020/01/24,Earth,Pig
2018/02/16,2019/02/04,Earth,Dog
2017/01/28,2018/02/15,Fire,Rooster
2016/02/08,2017/01/27,Fire,Monkey
2015/02/19,2016/02/07,Wood,Goat
2014/01/31,2015/02/18,Wood,Horse
2013/02/10,2014/01/30,Water,Snake
2012/01/23,2013/02/09,Water,Dragon
2011/02/03,2012/01/22,Metal,Rabbit
2010/02/14,2011/02/02,Metal,Tiger
2009/01/26,2010/02/13,Earth,Ox
2008/02/07,2009/01/25,Earth,Rat
2007/02/18,2008/02/06,Fire,Pig
2006/01/29,2007/02/17,Fire,Dog
2005/02/09,2006/01/28,Wood,Rooster
2004/01/22,2005/02/08,Wood,Monkey
2003/02/01,2004/01/21,Water,Goat
2002/02/12,2003/01/31,Water,Horse
2001/01/24,2002/02/11,Metal,Snake
2000/02/05,2001/01/23,Metal,Dragon
1999/02/16,2000/02/04,Earth,Rabbit
1998/01/28,1999/02/15,Earth,Tiger
1997/02/07,1998/01/27,Fire,Ox
1996/02/19,1997/02/06,Fire,Rat
1995/01/31,1996/02/18,Wood,Pig
1994/02/10,1995/01/30,Wood,Dog
1993/01/23,1994/02/09,Water,Rooster
1992/02/04,1993/01/22,Water,Monkey
1991/02/15,1992/02/03,Metal,Goat
1990/01/27,1991/02/14,Metal,Horse
1989/02/06,1990/01/26,Earth,Snake
1988/02/17,1989/02/05,Earth,Dragon
1987/01/29,1988/02/16,Fire,Rabbit
1986/02/09,1987/01/28,Fire,Tiger
1985/02/20,1986/02/08,Wood,Ox
1984/02/02,1985/02/19,Wood,Rat
1983/02/13,1984/02/01,Water,Pig
1982/01/25,1983/02/12,Water,Dog
1981/02/05,1982/01/24,Metal,Rooster
1980/02/16,1981/02/04,Metal,Monkey
1979/01/28,1980/02/15,Earth,Goat
1978/02/07,1979/01/27,Earth,Horse
1977/02/18,1978/02/06,Fire,Snake
1976/01/31,1977/02/17,Fire,Dragon
1975/02/11,1976/01/30,Wood,Rabbit
1974/01/23,1975/02/10,Wood,Tiger
1973/02/03,1974/01/22,Water,Ox
1972/02/15,1973/02/02,Water,Rat
1971/01/27,1972/02/14,Metal,Pig
1970/02/06,1971/01/26,Metal,Dog
1969/02/17,1970/02/05,Earth,Rooster
1968/01/30,1969/02/16,Earth,Monkey
1967/02/09,1968/01/29,Fire,Goat
1966/01/21,1967/02/08,Fire,Horse
1965/02/02,1966/01/20,Wood,Snake
1964/02/13,1965/02/01,Wood,Dragon
1963/01/25,1964/02/12,Water,Rabbit
1962/02/05,1963/01/24,Water,Tiger
1961/02/15,1962/02/04,Metal,Ox
1960/01/28,1961/02/14,Metal,Rat
1959/02/08,1960/01/27,Earth,Pig
1958/02/18,1959/02/07,Earth,Dog
1957/01/31,1958/02/17,Fire,Rooster
1956/02/12,1957/01/30,Fire,Monkey
1955/01/24,1956/02/11,Wood,Goat
1954/02/03,1955/01/23,Wood,Horse
1953/02/14,1954/02/02,Water,Snake
1952/01/27,1953/02/13,Water,Dragon
1951/02/06,1952/01/26,Metal,Rabbit
1950/02/17,1951/02/05,Metal,Tiger
1949/01/29,1950/02/16,Earth,Ox
1948/02/10,1949/01/28,Earth,Rat
1947/01/22,1948/02/09,Fire,Pig
1946/02/02,1947/01/21,Fire,Dog
